total-reqs   batch-size  tail-quantile    mean      lo      hi   log-batch-size
    131072            1          0.025   18491   19019   17659                0
    131072            4          0.025   18534   19568   17131                2
    131072           16          0.025   19704   20090   19143                4
    131072           64          0.025   19959   20312   19347                6
    131072          128          0.025   19653   20061   19013                7
    131072          256          0.025   19791   20129   19249                8
    131072         1024          0.025   19691   19941   19577               10
    131072         4096          0.025   19388   19979   18773               12

