total-reqs   batch-size  tail-quantile    mean      lo      hi   log-batch-size
    131072            1          0.025   20711   20898   20531                0
    131072            4          0.025   50139   50515   49413                2
    131072           16          0.025   89093   89483   88593                4
    131072           64          0.025  107106  107976  105708                6
    131072          128          0.025  108996  111488  105717                7
    131072          256          0.025  111331  113911  109185                8
    131072         1024          0.025  109042  110952  106847               10
    131072         4096          0.025  105688  107897  104722               12
