total-reqs   batch-size  tail-quantile    mean      lo      hi   log-batch-size
    131072            1          0.025   67309   69965   63273                0
    131072            4          0.025  159511  168196  153647                2
    131072           16          0.025  246608  256511  226804                4
    131072           64          0.025  264316  270492  253056                6
    131072          128          0.025  263739  271462  248338                7
    131072          256          0.025  260495  266803  247171                8
    131072         1024          0.025  248573  262689  239824               10
    131072         4096          0.025  238945  249744  223142               12
