total-reqs   batch-size  tail-quantile    mean      lo      hi   log-batch-size
    131072            1          0.025    7267    7331    7209                0
    131072            4          0.025   14588   14896   14436                2
    131072           16          0.025   19711   20275   19094                4
    131072           64          0.025   22029   22271   21817                6
    131072          128          0.025   21875   22252   21579                7
    131072          256          0.025   22197   22456   21809                8
    131072         1024          0.025   22168   22352   21874               10
    131072         4096          0.025   21354   21658   21024               12
