total-reqs   batch-size  tail-quantile    mean      lo      hi   log-batch-size
    131072            1          0.025   45551   45838   45300                0
    131072            4          0.025  112178  113557  110411                2
    131072           16          0.025  180150  183794  170494                4
    131072           64          0.025  214952  218347  210065                6
    131072          128          0.025  215068  221521  200835                7
    131072          256          0.025  215935  221723  204887                8
    131072         1024          0.025  213107  215750  209104               10
    131072         4096          0.025  197691  202722  191368               12
